"Pattern1"	"Pattern2"	"Pattern3"	"Pattern4"	"Pattern5"	"MAP"	"PPDE"
"ENSMUSG00000027858_Tspan2"	0.000927995377347242	0.00452799381996889	3.46089125525736e-06	0.990247463098204	0.00429308681322445	"Pattern4"	0.999072004622653
"ENSMUSG00000042514_Klhl14"	0.000956352321626506	1.55589184764304e-19	1.04357784862463e-11	0.999043647667937	7.79855113960217e-16	"Pattern4"	0.999043647678374
"ENSMUSG00000038608_Dock10"	0.000998198093356153	0.997096436346046	0.000331919506447635	2.63530242073131e-06	0.00157081075172927	"Pattern2"	0.999001801906644
"ENSMUSG00000033208_S100b"	0.00100881275306981	0.996854699586429	1.68408081075332e-06	0.000454091207499053	0.00168071237219139	"Pattern2"	0.99899118724693
"ENSMUSG00000063130_Calml3"	0.00101235174011534	2.79318599249833e-06	1.83861653004113e-05	0.997187800693679	0.00177866821491236	"Pattern4"	0.998987648259885
"ENSMUSG00000013418_B4galnt2"	0.00101572438410213	8.68887145172578e-06	0.000116690114329634	0.991479339852317	0.00737955677779962	"Pattern4"	0.998984275615898
"ENSMUSG00000041323_Ak7"	0.00104589873141897	8.74974292746879e-06	1.6977973978258e-05	0.995545079504917	0.00338329404675807	"Pattern4"	0.998954101268581
"ENSMUSG00000060477_Irak2"	0.00108447835029688	0.896052762184899	0.0807088852397513	1.29735758195228e-06	0.0221525768674711	"Pattern2"	0.998915521649703
"ENSMUSG00000034390_Cmip"	0.00109078723320529	0.998126600814863	6.66820703848578e-05	5.34076691032584e-06	0.000710589114636428	"Pattern2"	0.998909212766795
"ENSMUSG00000037627_Rgs22"	0.00110759515186701	1.16987398246745e-19	2.91361234180428e-05	0.998863268723733	9.81459938499612e-13	"Pattern4"	0.998892404848133
"ENSMUSG00000027479_Mapre1"	0.00113537472300518	0.997981908651826	0.000164384461469362	2.63974039864157e-06	0.000715692423300327	"Pattern2"	0.998864625276995
"ENSMUSG00000046280_She"	0.00115159605662506	0.000125445280113587	5.47493433351724e-05	0.997077525316788	0.00159068400313828	"Pattern4"	0.998848403943375
"ENSMUSG00000029832_Nfe2l3"	0.0012458300791385	0.997214599213609	0.000113336105792837	4.89284145594418e-05	0.00137730618690032	"Pattern2"	0.998754169920862
"ENSMUSG00000028433_Ubap2"	0.00127622456770283	0.998102966522045	1.02404758783893e-05	3.73031245129048e-05	0.000573265309861242	"Pattern2"	0.998723775432297
"ENSMUSG00000019773_Fbxo5"	0.00135037928402243	5.25576875261399e-05	0.000323519657873832	0.995670221345187	0.00260332202539087	"Pattern4"	0.998649620715978
"ENSMUSG00000030678_Maz"	0.00136982541795916	8.67959267971543e-06	0.000310663141795792	0.99717203338119	0.00113879846637546	"Pattern4"	0.998630174582041
"ENSMUSG00000057346_Apol9a"	0.00137900664469121	0.995222183638125	1.28249000158866e-05	0.00108932882845717	0.00229665598871068	"Pattern2"	0.998620993355309
"ENSMUSG00000054422_Fabp1"	0.00138435405560389	0.992794871873468	4.43953868772594e-06	0.000236368453554478	0.00557996607868579	"Pattern2"	0.998615645944396
"ENSMUSG00000036853_Mcoln3"	0.00139370956266901	1.16537315208273e-05	0.00047439085542483	0.987854922251679	0.0102653235987065	"Pattern4"	0.998606290437331
"ENSMUSG00000054435_Gimap4"	0.0014683779923716	0.980132143638219	1.51014298602435e-06	0.0119194482044176	0.00647852002200608	"Pattern2"	0.998531622007628
"ENSMUSG00000024451_Arap3"	0.00148211789496734	0.000409850140223942	1.20720880125405e-05	0.996965717662637	0.00113024221415895	"Pattern4"	0.998517882105033
"ENSMUSG00000099250_Metazoa_SRP"	0.00149577927611445	0.997711584976422	5.63811951394463e-05	8.64245867664244e-07	0.000735390306456321	"Pattern2"	0.998504220723886
"ENSMUSG00000050315_Synpo2"	0.00156021175437414	0.997862116807478	1.13935104994479e-06	0.000132047173507069	0.000444484913590339	"Pattern2"	0.998439788245626
"ENSMUSG00000029701_Rbm28"	0.00161629854470829	0.998030864123114	4.81006106500257e-06	3.30507392803171e-05	0.000314976531832726	"Pattern2"	0.998383701455292
"ENSMUSG00000029151_Slc30a3"	0.0016738764416409	1.69230584287274e-05	0.000461424005853391	0.986616552799277	0.0112312236947997	"Pattern4"	0.998326123558359
"ENSMUSG00000035517_Tdrd7"	0.00167584016486011	0.99613646310472	0.000794952935635468	2.83104429272158e-06	0.00138991275049174	"Pattern2"	0.99832415983514
"ENSMUSG00000050074_Spink8"	0.0017287262549574	0.00250515993012665	0.964473589622506	0.00499998041912881	0.0262925437732809	"Pattern3"	0.998271273745043
"ENSMUSG00000061838_Suclg2"	0.00176770337940357	0.997525589499276	1.73911674355058e-05	8.97561334565408e-05	0.000599559820427847	"Pattern2"	0.998232296620596
